model,dataset,epsilon,rep,timing_D
efficientnet,imagenetmini,0.3,0,4.382251630728628
efficientnet,imagenetmini,0.3,1,4.0066477371538065
efficientnet,imagenetmini,0.3,2,3.911974166254053
efficientnet,imagenetmini,0.3,3,0.43564988923137454
efficientnet,imagenetmini,0.3,4,3.421160800338094
efficientnet,imagenetmini,0.5,0,1.8060810720346827
efficientnet,imagenetmini,0.5,1,1.9680751227818947
efficientnet,imagenetmini,0.5,2,4.5338513335678625
efficientnet,imagenetmini,0.5,3,5.215462919125089
efficientnet,imagenetmini,0.5,4,5.841606140208385
efficientnet,synthetic,0.03,0,1.226982699424858
efficientnet,synthetic,0.03,1,2.2125894888621453
efficientnet,synthetic,0.03,2,2.4038505781349264
efficientnet,synthetic,0.03,3,4.978756950151222
efficientnet,synthetic,0.03,4,5.026563657762018
efficientnet,synthetic,0.1,0,5.423408658480123
efficientnet,synthetic,0.1,1,1.6906454052471893
efficientnet,synthetic,0.1,2,1.3299008981469713
efficientnet,synthetic,0.1,3,3.655170098205616
efficientnet,synthetic,0.1,4,5.405051158152256
efficientnet,synthetic,0.3,0,3.328839192529004
efficientnet,synthetic,0.3,1,2.7915026210940255
efficientnet,synthetic,0.3,2,2.471749109761336
efficientnet,synthetic,0.3,3,1.2073469885913253
efficientnet,synthetic,0.3,4,4.101460329222168
efficientnet,synthetic,0.5,0,2.7487860375035007
efficientnet,synthetic,0.5,1,0.010518034095674492
efficientnet,synthetic,0.5,2,1.6840219612005942
efficientnet,synthetic,0.5,3,4.4779249645477845
efficientnet,synthetic,0.5,4,4.4657244344405775
